ID,Origin,Destination,Type,Capacity,,Flow,,,,SUE,DUE,SUE_Rounded,,ARC-DUE,SUE-DUE,,(ARC-DUE)/DUE
38,38,584,3,49500,0,2224,0,0,,2228.48,2228.47999999998,2224,,-4.47999999998001,0,,-0.00201033888568892
39,39,585,3,49500,0,6727,0,0,,6737.86,6737.86000000004,6727,,-10.8600000000397,0,,-0.00161178771895522
40,40,586,3,49500,0,1860,0,0,,1866.66,1866.66000000005,1860,,-6.6600000000501,0,,-0.00356786988527634
41,41,587,3,49500,0,8055,0,0,,8069.74,8069.74000000001,8055,,-14.7400000000098,0,,-0.00182657681660249
42,42,588,3,49500,0,2109,0,0,,2120.7,2120.69999999999,2109,,-11.6999999999898,0,,-0.00551704625830616
43,43,589,3,49500,0,5252,0,0,,5257.64,5257.63999999997,5252,,-5.63999999997031,0,,-0.00107272464451167
44,44,590,3,49500,0,7111,0,0,,7128.54,7128.54,7111,,-17.54,0,,-0.00246053189012055
45,45,591,3,49500,0,6223,0,0,,6238.19,6238.19000000002,6223,,-15.1900000000196,0,,-0.00243500117822951
46,46,592,3,49500,0,6548,0,0,,6568.32,6568.32000000002,6548,,-20.3200000000197,0,,-0.00309363733801332
47,47,593,3,49500,0,2889,0,0,,2892.16,2892.15999999998,2889,,-3.15999999997985,0,,-0.0010926089842816
48,48,594,3,49500,0,4971,0,0,,4978.07,4978.07000000004,4971,,-7.07000000003973,0,,-0.00142022912494996
49,49,595,3,49500,0,3486,0,0,,3495.58,3495.58,3486,,-9.57999999999993,0,,-0.00274060384828839
50,50,596,3,49500,0,4748,0,0,,4758,4758,4748,,-10,0,,-0.00210172341319882
51,51,597,3,49500,0,1567,0,0,,1577.3,1577.30000000003,1567,,-10.30000000003,0,,-0.00653014645281796
52,52,598,3,49500,0,2035,0,0,,2041.28,2041.28,2035,,-6.27999999999997,0,,-0.00307650101896848
53,53,599,3,49500,0,4654,0,0,,4665.33,4665.32999999994,4654,,-11.3299999999399,0,,-0.00242855274973904
54,54,600,3,49500,0,1251,0,0,,1259.87,1259.86999999995,1251,,-8.8699999999501,0,,-0.00704040893104086
55,55,601,3,49500,0,1764,0,0,,1778.42,1778.41999999998,1764,,-14.4199999999801,0,,-0.00810832086907492
56,56,602,3,49500,0,4289,0,0,,4297.13,4297.13000000005,4289,,-8.13000000005013,0,,-0.0018919604480316
57,57,603,3,49500,0,1636,0,0,,1646.85,1646.84999999999,1636,,-10.8499999999899,0,,-0.00658833530679174
58,58,604,3,49500,0,5945,0,0,,5962.5,5962.5,5945,,-17.5,0,,-0.00293501048218029
59,59,605,3,49500,0,5214,0,0,,5225.8,5225.80000000001,5214,,-11.8000000000102,0,,-0.00225802747904822
60,60,606,3,49500,0,5137,0,0,,5148.46,5148.46000000002,5137,,-11.46000000002,0,,-0.0022259083298734
61,61,607,3,49500,0,5258,0,0,,5264.46,5264.46000000002,5258,,-6.46000000002005,0,,-0.0012270964163504
62,62,608,3,49500,0,5462,0,0,,5472.5,5472.50000000006,5462,,-10.50000000006,0,,-0.00191868433075558
63,63,609,3,49500,0,3707,0,0,,3718.92,3718.92000000001,3707,,-11.9200000000101,0,,-0.00320523162638886
64,64,610,3,49500,0,9091,0,0,,9104.31,9104.30999999996,9091,,-13.3099999999595,0,,-0.00146194494694925
65,65,611,3,49500,0,3457,0,0,,3468.09,3468.08999999998,3457,,-11.0899999999801,0,,-0.00319772554921591
66,66,612,3,49500,0,6186,0,0,,6193.35,6193.35000000001,6186,,-7.35000000001037,0,,-0.00118675676330425
67,67,613,3,49500,0,3845,0,0,,3858.59,3858.58999999994,3845,,-13.5899999999401,0,,-0.00352201192662095
68,68,614,3,49500,0,6520,0,0,,6526.75,6526.74999999992,6520,,-6.74999999991996,0,,-0.00103420538551654
69,69,615,3,49500,0,6262,0,0,,6270.57,6270.56999999999,6262,,-8.56999999998971,0,,-0.00136670191066996
70,70,616,3,49500,0,4469,0,0,,4480.42,4480.42000000001,4469,,-11.4200000000101,0,,-0.00254886818646691
71,71,617,3,49500,0,3973,0,0,,3979.92,3979.91999999999,3973,,-6.91999999999007,0,,-0.0017387284166491
72,72,618,3,49500,0,7288,0,0,,7296.66,7296.66,7288,,-8.65999999999985,0,,-0.00118684439181761
73,73,619,3,49500,0,7664,0,0,,7675.9,7675.90000000006,7664,,-11.9000000000597,0,,-0.00155030680442158
74,74,620,3,49500,0,2635,0,0,,2642.72,2642.72000000001,2635,,-7.7200000000098,0,,-0.00292123266937465
75,75,621,3,49500,0,2677,0,0,,2685.23,2685.23000000006,2677,,-8.23000000006005,0,,-0.00306491436489979
76,76,622,3,49500,0,5952,0,0,,5958.85,5958.85000000002,5952,,-6.85000000002037,0,,-0.00114955066833707
77,77,623,3,49500,0,7995,0,0,,7998.54,7998.54000000001,7995,,-3.54000000000997,0,,-0.000442580770991951
78,78,624,3,49500,0,6819,0,0,,6831.44,6831.44000000003,6819,,-12.4400000000296,0,,-0.0018209923530075
79,79,625,3,49500,0,3831,0,0,,3838.33,3838.33000000003,3831,,-7.33000000002994,0,,-0.00190968468058502
80,80,626,3,49500,0,10307,0,0,,10315.78,10315.7799999999,10307,,-8.77999999990061,0,,-0.000851123230613749
81,81,627,3,49500,0,8342,0,0,,8352.05,8352.05000000005,8342,,-10.0500000000502,0,,-0.00120329739405896
82,82,628,3,49500,0,5765,0,0,,5765.21,5765.21000000002,5765,,-0.210000000020045,0,,-3.64253860692056e-05
83,83,629,3,49500,0,4279,0,0,,4294.91,4294.90999999995,4279,,-15.9099999999498,0,,-0.0037043849579968
84,84,630,3,49500,0,6425,0,0,,6438.08,6438.07999999997,6425,,-13.0799999999699,0,,-0.00203166161339561
85,85,631,3,49500,0,13274,0,0,,13283.46,13283.46,13274,,-9.45999999999913,0,,-0.000712163848876658
86,86,632,3,49500,0,5282,0,0,,5293.37,5293.36999999994,5282,,-11.3699999999399,0,,-0.00214797000775309
87,87,633,3,49500,0,5963,0,0,,5977.54,5977.54,5963,,-14.54,0,,-0.00243243876243404
88,88,634,3,49500,0,4574,0,0,,4579.16,4579.16,4574,,-5.15999999999985,0,,-0.00112684422470494
89,89,635,3,49500,0,2365,0,0,,2370.39,2370.39000000006,2365,,-5.3900000000599,0,,-0.00227388741939502
90,90,636,3,49500,0,2196,0,0,,2212.55,2212.55000000006,2196,,-16.5500000000602,0,,-0.00748005694789259
91,91,637,3,49500,0,7071,0,0,,7079.22,7079.22000000003,7071,,-8.22000000003027,0,,-0.00116114487189694
92,92,638,3,49500,0,1731,0,0,,1746.5,1746.50000000004,1731,,-15.50000000004,0,,-0.00887489264245042
93,93,639,3,49500,0,4357,0,0,,4363.86,4363.86000000004,4357,,-6.86000000003969,0,,-0.00157200276820054
94,94,640,3,49500,0,464,0,0,,471.02,471.019999999989,464,,-7.01999999998901,0,,-0.0149038257398607
95,95,641,3,49500,0,2739,0,0,,2752.81,2752.80999999998,2739,,-13.8099999999799,0,,-0.00501669203467731
96,96,642,3,49500,0,581,0,0,,587.41,587.41000000001,581,,-6.41000000000997,0,,-0.010912309970906
97,97,643,3,49500,0,6289,0,0,,6304.83,6304.82999999999,6289,,-15.8299999999899,0,,-0.00251077348635728
98,98,644,3,49500,0,8427,0,0,,8436.92,8436.92000000006,8427,,-9.9200000000601,0,,-0.00117578452801023
99,99,645,3,49500,0,4520,0,0,,4527.16,4527.15999999999,4520,,-7.15999999998985,0,,-0.00158156548476084
100,100,646,3,49500,0,3581,0,0,,3592.63,3592.63000000004,3581,,-11.6300000000401,0,,-0.00323718278810788
101,101,647,3,49500,0,3134,0,0,,3144.71,3144.70999999999,3134,,-10.70999999999,0,,-0.00340571944630509
102,102,648,3,49500,0,3673,0,0,,3681.72,3681.72,3673,,-8.7199999999998,0,,-0.00236845822061422
103,103,649,3,49500,0,1738,0,0,,1743.13,1743.13000000001,1738,,-5.13000000001011,0,,-0.00294298187743317
104,104,650,3,49500,0,3092,0,0,,3100.18,3100.18,3092,,-8.17999999999984,0,,-0.00263855647091454
105,105,651,3,49500,0,976,0,0,,983.63,983.630000000011,976,,-7.63000000001102,0,,-0.00775698179194508
106,106,652,3,49500,0,3850,0,0,,3859.91,3859.91000000003,3850,,-9.91000000002987,0,,-0.00256741737502423
107,107,653,3,49500,0,3619,0,0,,3630.97,3630.97000000002,3619,,-11.9700000000198,0,,-0.00329663974090112
108,108,654,3,49500,0,3763,0,0,,3769.1,3769.10000000003,3763,,-6.10000000002992,0,,-0.00161842349633331
109,109,655,3,49500,0,3014,0,0,,3028.1,3028.09999999998,3014,,-14.0999999999799,0,,-0.004656385192028
110,110,656,3,49500,0,5654,0,0,,5660.6,5660.59999999996,5654,,-6.59999999996035,0,,-0.0011659541391302
111,111,657,3,49500,0,5454,0,0,,5463.48,5463.47999999997,5454,,-9.47999999996955,0,,-0.00173515781149919
112,112,658,3,49500,0,3647,0,0,,3659.23,3659.22999999995,3647,,-12.22999999995,0,,-0.00334223320205348
113,113,659,3,49500,0,3779,0,0,,3784.73,3784.72999999995,3779,,-5.72999999995,0,,-0.00151397854006761
114,114,660,3,49500,0,2136,0,0,,2147.45,2147.45000000001,2136,,-11.4500000000098,0,,-0.00533190528301463
115,115,661,3,49500,0,4030,0,0,,4043.61,4043.61000000002,4030,,-13.6100000000201,0,,-0.00336580431842341
116,116,662,3,49500,0,2367,0,0,,2374.71,2374.70999999999,2367,,-7.70999999999003,0,,-0.00324671223012076
117,117,663,3,49500,0,816,0,0,,824.08,824.080000000016,816,,-8.08000000001596,0,,-0.00980487331328973
118,118,664,3,49500,0,4276,0,0,,4286.07,4286.07000000001,4276,,-10.0700000000097,0,,-0.0023494716605211
119,119,665,3,49500,0,1273,0,0,,1278.87,1278.87000000001,1273,,-5.8700000000099,0,,-0.00458998960020162
120,120,666,3,49500,0,1495,0,0,,1507.37,1507.37,1495,,-12.3699999999999,0,,-0.0082063461525703
121,121,667,3,49500,0,3784,0,0,,3785.82,3785.81999999999,3784,,-1.81999999999016,0,,-0.000480741292504705
122,122,668,3,49500,0,1935,0,0,,1943.73,1943.72999999994,1935,,-8.72999999993999,0,,-0.00449136454134075
123,123,669,3,49500,0,4272,0,0,,4281.93,4281.93000000004,4272,,-9.93000000004031,0,,-0.00231904771914539
124,124,670,3,49500,0,1793,0,0,,1800.85,1800.85000000002,1793,,-7.85000000001992,0,,-0.00435905266958371
125,125,671,3,49500,0,2211,0,0,,2224.15,2224.15000000006,2211,,-13.1500000000601,0,,-0.00591237101816863
126,126,672,3,49500,0,497,0,0,,507.29,507.290000000022,497,,-10.290000000022,0,,-0.0202842555540649
127,127,673,3,49500,0,2119,0,0,,2137.82,2137.82000000003,2119,,-18.8200000000302,0,,-0.0088033604326042
128,128,674,3,49500,0,852,0,0,,864.15,864.150000000066,852,,-12.150000000066,0,,-0.014060059017607
129,129,675,3,49500,0,3844,0,0,,3848.75,3848.75,3844,,-4.75,0,,-0.00123416693731731
130,130,676,3,49500,0,2979,0,0,,2993.41,2993.41000000006,2979,,-14.4100000000599,0,,-0.00481390788433913
131,131,677,3,49500,0,4999,0,0,,5005.8,5005.79999999998,4999,,-6.79999999998017,0,,-0.00135842422789169
132,132,678,3,49500,0,3959,0,0,,3968.5,3968.5,3959,,-9.5,0,,-0.00239385158120197
133,133,679,3,49500,0,5184,0,0,,5192.12,5192.12000000002,5184,,-8.1200000000199,0,,-0.00156390838424764
134,134,680,3,49500,0,3349,0,0,,3356.65,3356.65000000003,3349,,-7.6500000000301,0,,-0.00227905798937334
135,135,681,3,49500,0,5474,0,0,,5479.75,5479.75000000003,5474,,-5.75000000003001,0,,-0.0010493179433423
136,136,682,3,49500,0,6381,0,0,,6391.22,6391.22000000002,6381,,-10.2200000000203,0,,-0.00159906872240671
137,137,683,3,49500,0,2340,0,0,,2348.41,2348.40999999998,2340,,-8.40999999997985,0,,-0.00358114639265712
138,138,684,3,49500,0,1456,0,0,,1466.59,1466.58999999998,1456,,-10.5899999999799,0,,-0.00722083199802266
139,139,685,3,49500,0,1622,0,0,,1631.54,1631.54000000001,1622,,-9.54000000000997,0,,-0.00584723635338999
140,140,686,3,49500,0,1086,0,0,,1097.23,1097.23000000006,1086,,-11.23000000006,0,,-0.0102348641579791
141,141,687,3,49500,0,5289,0,0,,5293.44,5293.43999999998,5289,,-4.43999999997959,0,,-0.000838774029738621
142,142,688,3,49500,0,5095,0,0,,5106.13,5106.12999999999,5095,,-11.1299999999901,0,,-0.00217973298760316
143,143,689,3,49500,0,4072,0,0,,4074.25,4074.25000000002,4072,,-2.25000000002001,0,,-0.000552248880166901
144,144,690,3,49500,0,3067,0,0,,3079.56,3079.55999999999,3067,,-12.5599999999899,0,,-0.00407850472145046
145,145,691,3,49500,0,7182,0,0,,7191.34,7191.34000000004,7182,,-9.34000000004016,0,,-0.00129878437120761
146,146,692,3,49500,0,6920,0,0,,6930.25,6930.25000000004,6920,,-10.25000000004,0,,-0.00147902312326972
147,147,693,3,49500,0,6250,0,0,,6262.2,6262.20000000002,6250,,-12.2000000000198,0,,-0.00194819711922644
148,148,694,3,49500,0,6626,0,0,,6643.95,6643.95000000001,6626,,-17.9500000000098,0,,-0.00270170606341255
149,149,695,3,49500,0,4148,0,0,,4165.68,4165.68000000005,4148,,-17.6800000000503,0,,-0.0042442050277626
150,150,696,3,49500,0,1454,0,0,,1467.5,1467.50000000001,1454,,-13.50000000001,0,,-0.00919931856900164
151,151,697,3,49500,0,1706,0,0,,1718.33,1718.32999999997,1706,,-12.3299999999699,0,,-0.00717557163057744
152,152,698,3,49500,0,2450,0,0,,2461.4,2461.39999999993,2450,,-11.3999999999301,0,,-0.00463151052243861
153,153,699,3,49500,0,4421,0,0,,4432.8,4432.80000000002,4421,,-11.8000000000202,0,,-0.00266197437286143
154,154,700,3,49500,0,5123,0,0,,5126.12,5126.11999999997,5123,,-3.11999999996988,0,,-0.000608647476057895
155,155,701,3,49500,0,4460,0,0,,4469.1,4469.1,4460,,-9.10000000000036,0,,-0.0020362041574367
156,156,702,3,49500,0,4344,0,0,,4347.7,4347.69999999997,4344,,-3.6999999999698,0,,-0.000851024679708773
157,157,703,3,49500,0,5840,0,0,,5850.4,5850.40000000001,5840,,-10.4000000000096,0,,-0.00177765622863558
158,158,704,3,49500,0,6240,0,0,,6246.55,6246.54999999995,6240,,-6.54999999995016,0,,-0.00104857881549819
159,159,705,3,49500,0,4577,0,0,,4582.57,4582.57000000003,4577,,-5.57000000002972,0,,-0.00121547515914207
160,160,706,3,49500,0,5071,0,0,,5079.87,5079.87000000004,5071,,-8.87000000003991,0,,-0.00174610767599168
161,161,707,3,49500,0,1752,0,0,,1761.8,1761.80000000001,1752,,-9.80000000000996,0,,-0.00556249290498916
162,162,708,3,49500,0,628,0,0,,642.7,642.700000000004,628,,-14.700000000004,0,,-0.0228722576629904
163,163,709,3,49500,0,404,0,0,,417.93,417.930000000043,404,,-13.930000000043,0,,-0.0333309405882362
164,164,710,3,49500,0,2475,0,0,,2482.86,2482.85999999997,2475,,-7.85999999997011,0,,-0.00316570406707193
165,165,711,3,49500,0,457,0,0,,461.78,461.779999999991,457,,-4.77999999999099,0,,-0.0103512495127357
166,166,712,3,49500,0,2406,0,0,,2412.98,2412.98000000002,2406,,-6.98000000002003,0,,-0.0028926887085761
167,167,713,3,49500,0,1145,0,0,,1155.62,1155.61999999999,1145,,-10.6199999999899,0,,-0.00918987210327788
168,168,714,3,49500,0,251,0,0,,264.04,264.040000000022,251,,-13.040000000022,0,,-0.0493864565975645
169,169,715,3,49500,0,549,0,0,,559.09,559.09000000004,549,,-10.0900000000401,0,,-0.0180471838166294
170,170,716,3,49500,0,5251,0,0,,5259.08,5259.08000000004,5251,,-8.08000000003995,0,,-0.00153639039528585
171,171,717,3,49500,0,1091,0,0,,1094.69,1094.68999999996,1091,,-3.68999999996004,0,,-0.00337081730897347
172,172,718,3,49500,0,3023,0,0,,3031.33,3031.33,3023,,-8.32999999999993,0,,-0.002747968713403
173,173,719,3,49500,0,608,0,0,,605.11,605.110000000022,608,,2.88999999997805,0,,0.00477599114206994
174,174,720,3,49500,0,323,0,0,,331.34,331.340000000011,323,,-8.340000000011,0,,-0.0251705197078853
175,175,721,3,49500,0,1231,0,0,,1238.69,1238.69,1231,,-7.69000000000006,0,,-0.0062081715360583
176,176,722,3,49500,0,803,0,0,,808.62,808.620000000017,803,,-5.62000000001694,0,,-0.00695011253743022
177,177,723,3,49500,0,408,0,0,,420.73,420.730000000025,408,,-12.730000000025,0,,-0.0302569343760231
178,178,724,3,49500,0,2560,0,0,,2566.03,2566.03000000001,2560,,-6.0300000000102,0,,-0.00234993355495071
179,179,725,3,49500,0,1742,0,0,,1755.87,1755.86999999998,1742,,-13.8699999999801,0,,-0.00789921805143904
180,180,726,3,49500,0,287,0,0,,298.39,298.389999999984,287,,-11.389999999984,0,,-0.0381715204932626
181,181,727,3,49500,0,629,0,0,,646.97,646.969999999993,629,,-17.969999999993,0,,-0.0277756310184293
182,182,728,3,49500,0,2266,0,0,,2277.01,2277.00999999998,2266,,-11.0099999999802,0,,-0.00483528838256323
183,183,729,3,49500,0,1191,0,0,,1200.82,1200.81999999994,1191,,-9.81999999993991,0,,-0.00817774520739195
184,184,730,3,49500,0,1448,0,0,,1465.93,1465.92999999997,1448,,-17.9299999999701,0,,-0.0122311433697178
185,185,731,3,49500,0,945,0,0,,949.58,949.57999999995,945,,-4.57999999995002,0,,-0.00482318498699452
186,186,732,3,49500,0,453,0,0,,465.52,465.520000000025,453,,-12.520000000025,0,,-0.0268946554391311
187,187,733,3,49500,0,926,0,0,,939.16,939.160000000068,926,,-13.160000000068,0,,-0.0140125218280879
188,188,734,3,49500,0,3015,0,0,,3028.51,3028.50999999998,3015,,-13.5099999999802,0,,-0.00446093953791809
189,189,735,3,49500,0,3592,0,0,,3603.24,3603.23999999999,3592,,-11.2399999999898,0,,-0.00311941474894534
190,190,736,3,49500,0,4921,0,0,,4935.73,4935.73000000003,4921,,-14.7300000000296,0,,-0.00298436097599129
191,191,737,3,49500,0,3796,0,0,,3814.16,3814.16000000001,3796,,-18.1600000000099,0,,-0.00476120561277183
192,192,738,3,49500,0,1241,0,0,,1246.07,1246.06999999999,1241,,-5.06999999998993,0,,-0.00406879228292951
193,193,739,3,49500,0,146,0,0,,153.9,153.899999999979,146,,-7.899999999979,0,,-0.0513320337880447
194,194,740,3,49500,0,1278,0,0,,1290.23,1290.23,1278,,-12.23,0,,-0.00947893011323564
195,195,741,3,49500,0,892,0,0,,898.9,898.900000000052,892,,-6.90000000005205,0,,-0.00767604850378423
196,196,742,3,49500,0,715,0,0,,726.61,726.609999999986,715,,-11.609999999986,0,,-0.0159783102351829
197,197,743,3,49500,0,721,0,0,,736.44,736.439999999995,721,,-15.4399999999951,0,,-0.0209657270110194
198,198,744,3,49500,0,2444,0,0,,2458.04,2458.04000000005,2444,,-14.04000000005,0,,-0.0057118679924044
199,199,745,3,49500,0,2977,0,0,,2992.59,2992.59000000005,2977,,-15.5900000000502,0,,-0.00520953421619731
200,200,746,3,49500,0,2576,0,0,,2581.7,2581.69999999996,2576,,-5.6999999999598,0,,-0.00220784754230154
201,201,747,3,49500,0,1110,0,0,,1119.27,1119.27,1110,,-9.26999999999998,0,,-0.00828218392345009
202,202,748,3,49500,0,1656,0,0,,1663.53,1663.52999999996,1656,,-7.52999999995996,0,,-0.004526518908562
203,203,749,3,49500,0,1535,0,0,,1544.79,1544.79000000004,1535,,-9.79000000003998,0,,-0.00633743097769906
204,204,750,3,49500,0,1965,0,0,,1974.16,1974.15999999994,1965,,-9.15999999994006,0,,-0.00463994812980728
205,205,751,3,49500,0,2033,0,0,,2040.23,2040.22999999999,2033,,-7.22999999999001,0,,-0.00354371811020819
206,206,752,3,49500,0,701,0,0,,708.4,708.400000000001,701,,-7.400000000001,0,,-0.0104460756634684
207,207,753,3,49500,0,2004,0,0,,2007.85,2007.84999999994,2004,,-3.84999999994011,0,,-0.00191747391485431
208,208,754,3,49500,0,1497,0,0,,1498.44,1498.43999999996,1497,,-1.43999999996004,0,,-0.000960999439390349
209,209,755,3,49500,0,4458,0,0,,4461.61,4461.60999999998,4458,,-3.60999999997966,0,,-0.000809124957129754
210,210,756,3,49500,0,6113,0,0,,6121.12,6121.12000000007,6113,,-8.12000000006992,0,,-0.00132655461746704
211,211,757,3,49500,0,2089,0,0,,2102.28,2102.28000000002,2089,,-13.2800000000202,0,,-0.00631695111974622
212,212,758,3,49500,0,495,0,0,,502.12,502.120000000024,495,,-7.12000000002399,0,,-0.0141798773202096
213,213,759,3,49500,0,117,0,0,,126.52,126.52000000004,117,,-9.52000000004,0,,-0.075245020550403
214,214,760,3,49500,0,1426,0,0,,1431.55,1431.54999999998,1426,,-5.54999999997995,0,,-0.00387691662881494
215,215,761,3,49500,0,197,0,0,,206.38,206.37999999999,197,,-9.37999999998999,0,,-0.0454501405174457
216,216,762,3,49500,0,1287,0,0,,1295.57,1295.57,1287,,-8.56999999999994,0,,-0.00661484906257473
217,217,763,3,49500,0,1744,0,0,,1746.9,1746.90000000002,1744,,-2.9000000000201,0,,-0.00166008357663293
218,218,764,3,49500,0,1355,0,0,,1363.28,1363.27999999997,1355,,-8.27999999996996,0,,-0.00607358723077441
219,219,765,3,49500,0,4040,0,0,,4045.68,4045.68000000004,4040,,-5.68000000003985,0,,-0.00140396670029261
220,220,766,3,49500,0,4384,0,0,,4393.47,4393.47000000005,4384,,-9.47000000005028,0,,-0.00215547164315454
221,221,767,3,49500,0,2502,0,0,,2514.07,2514.07000000002,2502,,-12.0700000000202,0,,-0.00480098008409475
222,222,768,3,49500,0,2866,0,0,,2874.95,2874.94999999999,2866,,-8.94999999998981,0,,-0.0031130976190855
223,223,769,3,49500,0,855,0,0,,857.32,857.319999999999,855,,-2.31999999999903,0,,-0.00270610740446861
224,224,770,3,49500,0,1415,0,0,,1427.07,1427.07000000002,1415,,-12.0700000000199,0,,-0.00845788924160677
225,225,771,3,49500,0,1061,0,0,,1073.85,1073.84999999996,1061,,-12.8499999999599,0,,-0.0119662895189834
226,226,772,3,49500,0,2113,0,0,,2127.05,2127.05000000002,2113,,-14.0500000000202,0,,-0.0066053924449449
227,227,773,3,49500,0,1027,0,0,,1039.26,1039.26000000003,1027,,-12.26000000003,0,,-0.0117968554548714
228,228,774,3,49500,0,2218,0,0,,2222.68,2222.68000000005,2218,,-4.68000000004986,0,,-0.00210556625337419
229,229,775,3,49500,0,2347,0,0,,2353,2352.99999999997,2347,,-5.99999999996999,0,,-0.00254993625158099
230,230,776,3,49500,0,3006,0,0,,3012.15,3012.14999999997,3006,,-6.14999999997008,0,,-0.00204173098948264
231,231,777,3,49500,0,3198,0,0,,3206.53,3206.53,3198,,-8.5300000000002,0,,-0.00266019653644288
232,232,778,3,49500,0,3908,0,0,,3918.54,3918.54000000002,3908,,-10.54000000002,0,,-0.00268977731502547
233,233,779,3,49500,0,4018,0,0,,4034.17,4034.17000000004,4018,,-16.1700000000401,0,,-0.00400825944371207
234,234,780,3,49500,0,933,0,0,,946.65,946.649999999943,933,,-13.649999999943,0,,-0.0144192679447989
235,235,781,3,49500,0,236,0,0,,242.1,242.099999999991,236,,-6.09999999999101,0,,-0.0251961999173533
