ID,Origin,Destination,Type,Capacity,,Flow,,,,SUE,DUE,SUE_Rounded,,ARC-DUE,SUE-DUE,,(ARC-DUE)/DUE
106,106,652,3,49500,0,3850,0,0,,3859.91,3859.91000000003,3850,,=G107-L107,=G107-M107,,=O107/L107
107,107,653,3,49500,0,3619,0,0,,3630.97,3630.97000000002,3619,,=G108-L108,=G108-M108,,=O108/L108
108,108,654,3,49500,0,3763,0,0,,3769.1,3769.10000000003,3763,,=G109-L109,=G109-M109,,=O109/L109
109,109,655,3,49500,0,3014,0,0,,3028.1,3028.09999999998,3014,,=G110-L110,=G110-M110,,=O110/L110
110,110,656,3,49500,0,5654,0,0,,5660.6,5660.59999999996,5654,,=G111-L111,=G111-M111,,=O111/L111
111,111,657,3,49500,0,5454,0,0,,5463.48,5463.47999999997,5454,,=G112-L112,=G112-M112,,=O112/L112
112,112,658,3,49500,0,3647,0,0,,3659.23,3659.22999999995,3647,,=G113-L113,=G113-M113,,=O113/L113
113,113,659,3,49500,0,3779,0,0,,3784.73,3784.72999999995,3779,,=G114-L114,=G114-M114,,=O114/L114
114,114,660,3,49500,0,2136,0,0,,2147.45,2147.45000000001,2136,,=G115-L115,=G115-M115,,=O115/L115
115,115,661,3,49500,0,4030,0,0,,4043.61,4043.61000000002,4030,,=G116-L116,=G116-M116,,=O116/L116
116,116,662,3,49500,0,2367,0,0,,2374.71,2374.70999999999,2367,,=G117-L117,=G117-M117,,=O117/L117
117,117,663,3,49500,0,816,0,0,,824.08,824.080000000016,816,,=G118-L118,=G118-M118,,=O118/L118
118,118,664,3,49500,0,4276,0,0,,4286.07,4286.07000000001,4276,,=G119-L119,=G119-M119,,=O119/L119
119,119,665,3,49500,0,1273,0,0,,1278.87,1278.87000000001,1273,,=G120-L120,=G120-M120,,=O120/L120
120,120,666,3,49500,0,1495,0,0,,1507.37,1507.37,1495,,=G121-L121,=G121-M121,,=O121/L121
121,121,667,3,49500,0,3784,0,0,,3785.82,3785.81999999999,3784,,=G122-L122,=G122-M122,,=O122/L122
122,122,668,3,49500,0,1935,0,0,,1943.73,1943.72999999994,1935,,=G123-L123,=G123-M123,,=O123/L123
123,123,669,3,49500,0,4272,0,0,,4281.93,4281.93000000004,4272,,=G124-L124,=G124-M124,,=O124/L124
124,124,670,3,49500,0,1793,0,0,,1800.85,1800.85000000002,1793,,=G125-L125,=G125-M125,,=O125/L125
125,125,671,3,49500,0,2211,0,0,,2224.15,2224.15000000006,2211,,=G126-L126,=G126-M126,,=O126/L126
126,126,672,3,49500,0,497,0,0,,507.29,507.290000000022,497,,=G127-L127,=G127-M127,,=O127/L127
127,127,673,3,49500,0,2119,0,0,,2137.82,2137.82000000003,2119,,=G128-L128,=G128-M128,,=O128/L128
128,128,674,3,49500,0,852,0,0,,864.15,864.150000000066,852,,=G129-L129,=G129-M129,,=O129/L129
129,129,675,3,49500,0,3844,0,0,,3848.75,3848.75,3844,,=G130-L130,=G130-M130,,=O130/L130
130,130,676,3,49500,0,2979,0,0,,2993.41,2993.41000000006,2979,,=G131-L131,=G131-M131,,=O131/L131
131,131,677,3,49500,0,4999,0,0,,5005.8,5005.79999999998,4999,,=G132-L132,=G132-M132,,=O132/L132
132,132,678,3,49500,0,3959,0,0,,3968.5,3968.5,3959,,=G133-L133,=G133-M133,,=O133/L133
133,133,679,3,49500,0,5184,0,0,,5192.12,5192.12000000002,5184,,=G134-L134,=G134-M134,,=O134/L134
134,134,680,3,49500,0,3349,0,0,,3356.65,3356.65000000003,3349,,=G135-L135,=G135-M135,,=O135/L135
135,135,681,3,49500,0,5474,0,0,,5479.75,5479.75000000003,5474,,=G136-L136,=G136-M136,,=O136/L136
136,136,682,3,49500,0,6381,0,0,,6391.22,6391.22000000002,6381,,=G137-L137,=G137-M137,,=O137/L137
137,137,683,3,49500,0,2340,0,0,,2348.41,2348.40999999998,2340,,=G138-L138,=G138-M138,,=O138/L138
138,138,684,3,49500,0,1456,0,0,,1466.59,1466.58999999998,1456,,=G139-L139,=G139-M139,,=O139/L139
139,139,685,3,49500,0,1622,0,0,,1631.54,1631.54000000001,1622,,=G140-L140,=G140-M140,,=O140/L140
140,140,686,3,49500,0,1086,0,0,,1097.23,1097.23000000006,1086,,=G141-L141,=G141-M141,,=O141/L141
141,141,687,3,49500,0,5289,0,0,,5293.44,5293.43999999998,5289,,=G142-L142,=G142-M142,,=O142/L142
142,142,688,3,49500,0,5095,0,0,,5106.13,5106.12999999999,5095,,=G143-L143,=G143-M143,,=O143/L143
143,143,689,3,49500,0,4072,0,0,,4074.25,4074.25000000002,4072,,=G144-L144,=G144-M144,,=O144/L144
144,144,690,3,49500,0,3067,0,0,,3079.56,3079.55999999999,3067,,=G145-L145,=G145-M145,,=O145/L145
145,145,691,3,49500,0,7182,0,0,,7191.34,7191.34000000004,7182,,=G146-L146,=G146-M146,,=O146/L146
146,146,692,3,49500,0,6920,0,0,,6930.25,6930.25000000004,6920,,=G147-L147,=G147-M147,,=O147/L147
147,147,693,3,49500,0,6250,0,0,,6262.2,6262.20000000002,6250,,=G148-L148,=G148-M148,,=O148/L148
148,148,694,3,49500,0,6626,0,0,,6643.95,6643.95000000001,6626,,=G149-L149,=G149-M149,,=O149/L149
149,149,695,3,49500,0,4148,0,0,,4165.68,4165.68000000005,4148,,=G150-L150,=G150-M150,,=O150/L150
150,150,696,3,49500,0,1454,0,0,,1467.5,1467.50000000001,1454,,=G151-L151,=G151-M151,,=O151/L151
151,151,697,3,49500,0,1706,0,0,,1718.33,1718.32999999997,1706,,=G152-L152,=G152-M152,,=O152/L152
152,152,698,3,49500,0,2450,0,0,,2461.4,2461.39999999993,2450,,=G153-L153,=G153-M153,,=O153/L153
153,153,699,3,49500,0,4421,0,0,,4432.8,4432.80000000002,4421,,=G154-L154,=G154-M154,,=O154/L154
154,154,700,3,49500,0,5123,0,0,,5126.12,5126.11999999997,5123,,=G155-L155,=G155-M155,,=O155/L155
155,155,701,3,49500,0,4460,0,0,,4469.1,4469.1,4460,,=G156-L156,=G156-M156,,=O156/L156
156,156,702,3,49500,0,4344,0,0,,4347.7,4347.69999999997,4344,,=G157-L157,=G157-M157,,=O157/L157
157,157,703,3,49500,0,5840,0,0,,5850.4,5850.40000000001,5840,,=G158-L158,=G158-M158,,=O158/L158
158,158,704,3,49500,0,6240,0,0,,6246.55,6246.54999999995,6240,,=G159-L159,=G159-M159,,=O159/L159
159,159,705,3,49500,0,4577,0,0,,4582.57,4582.57000000003,4577,,=G160-L160,=G160-M160,,=O160/L160
160,160,706,3,49500,0,5071,0,0,,5079.87,5079.87000000004,5071,,=G161-L161,=G161-M161,,=O161/L161
161,161,707,3,49500,0,1752,0,0,,1761.8,1761.80000000001,1752,,=G162-L162,=G162-M162,,=O162/L162
162,162,708,3,49500,0,628,0,0,,642.7,642.700000000004,628,,=G163-L163,=G163-M163,,=O163/L163
163,163,709,3,49500,0,404,0,0,,417.93,417.930000000043,404,,=G164-L164,=G164-M164,,=O164/L164
164,164,710,3,49500,0,2475,0,0,,2482.86,2482.85999999997,2475,,=G165-L165,=G165-M165,,=O165/L165
165,165,711,3,49500,0,457,0,0,,461.78,461.779999999991,457,,=G166-L166,=G166-M166,,=O166/L166
166,166,712,3,49500,0,2406,0,0,,2412.98,2412.98000000002,2406,,=G167-L167,=G167-M167,,=O167/L167
167,167,713,3,49500,0,1145,0,0,,1155.62,1155.61999999999,1145,,=G168-L168,=G168-M168,,=O168/L168
168,168,714,3,49500,0,251,0,0,,264.04,264.040000000022,251,,=G169-L169,=G169-M169,,=O169/L169
169,169,715,3,49500,0,549,0,0,,559.09,559.09000000004,549,,=G170-L170,=G170-M170,,=O170/L170
170,170,716,3,49500,0,5251,0,0,,5259.08,5259.08000000004,5251,,=G171-L171,=G171-M171,,=O171/L171
171,171,717,3,49500,0,1091,0,0,,1094.69,1094.68999999996,1091,,=G172-L172,=G172-M172,,=O172/L172
172,172,718,3,49500,0,3023,0,0,,3031.33,3031.33,3023,,=G173-L173,=G173-M173,,=O173/L173
173,173,719,3,49500,0,608,0,0,,605.11,605.110000000022,608,,=G174-L174,=G174-M174,,=O174/L174
174,174,720,3,49500,0,323,0,0,,331.34,331.340000000011,323,,=G175-L175,=G175-M175,,=O175/L175
175,175,721,3,49500,0,1231,0,0,,1238.69,1238.69,1231,,=G176-L176,=G176-M176,,=O176/L176
176,176,722,3,49500,0,803,0,0,,808.62,808.620000000017,803,,=G177-L177,=G177-M177,,=O177/L177
177,177,723,3,49500,0,408,0,0,,420.73,420.730000000025,408,,=G178-L178,=G178-M178,,=O178/L178
178,178,724,3,49500,0,2560,0,0,,2566.03,2566.03000000001,2560,,=G179-L179,=G179-M179,,=O179/L179
179,179,725,3,49500,0,1742,0,0,,1755.87,1755.86999999998,1742,,=G180-L180,=G180-M180,,=O180/L180
180,180,726,3,49500,0,287,0,0,,298.39,298.389999999984,287,,=G181-L181,=G181-M181,,=O181/L181
181,181,727,3,49500,0,629,0,0,,646.97,646.969999999993,629,,=G182-L182,=G182-M182,,=O182/L182
182,182,728,3,49500,0,2266,0,0,,2277.01,2277.00999999998,2266,,=G183-L183,=G183-M183,,=O183/L183
183,183,729,3,49500,0,1191,0,0,,1200.82,1200.81999999994,1191,,=G184-L184,=G184-M184,,=O184/L184
184,184,730,3,49500,0,1448,0,0,,1465.93,1465.92999999997,1448,,=G185-L185,=G185-M185,,=O185/L185
185,185,731,3,49500,0,945,0,0,,949.58,949.57999999995,945,,=G186-L186,=G186-M186,,=O186/L186
186,186,732,3,49500,0,453,0,0,,465.52,465.520000000025,453,,=G187-L187,=G187-M187,,=O187/L187
187,187,733,3,49500,0,926,0,0,,939.16,939.160000000068,926,,=G188-L188,=G188-M188,,=O188/L188
188,188,734,3,49500,0,3015,0,0,,3028.51,3028.50999999998,3015,,=G189-L189,=G189-M189,,=O189/L189
189,189,735,3,49500,0,3592,0,0,,3603.24,3603.23999999999,3592,,=G190-L190,=G190-M190,,=O190/L190
190,190,736,3,49500,0,4921,0,0,,4935.73,4935.73000000003,4921,,=G191-L191,=G191-M191,,=O191/L191
191,191,737,3,49500,0,3796,0,0,,3814.16,3814.16000000001,3796,,=G192-L192,=G192-M192,,=O192/L192
192,192,738,3,49500,0,1241,0,0,,1246.07,1246.06999999999,1241,,=G193-L193,=G193-M193,,=O193/L193
193,193,739,3,49500,0,146,0,0,,153.9,153.899999999979,146,,=G194-L194,=G194-M194,,=O194/L194
194,194,740,3,49500,0,1278,0,0,,1290.23,1290.23,1278,,=G195-L195,=G195-M195,,=O195/L195
195,195,741,3,49500,0,892,0,0,,898.9,898.900000000052,892,,=G196-L196,=G196-M196,,=O196/L196
196,196,742,3,49500,0,715,0,0,,726.61,726.609999999986,715,,=G197-L197,=G197-M197,,=O197/L197
197,197,743,3,49500,0,721,0,0,,736.44,736.439999999995,721,,=G198-L198,=G198-M198,,=O198/L198
198,198,744,3,49500,0,2444,0,0,,2458.04,2458.04000000005,2444,,=G199-L199,=G199-M199,,=O199/L199
199,199,745,3,49500,0,2977,0,0,,2992.59,2992.59000000005,2977,,=G200-L200,=G200-M200,,=O200/L200
200,200,746,3,49500,0,2576,0,0,,2581.7,2581.69999999996,2576,,=G201-L201,=G201-M201,,=O201/L201
201,201,747,3,49500,0,1110,0,0,,1119.27,1119.27,1110,,=G202-L202,=G202-M202,,=O202/L202
202,202,748,3,49500,0,1656,0,0,,1663.53,1663.52999999996,1656,,=G203-L203,=G203-M203,,=O203/L203
203,203,749,3,49500,0,1535,0,0,,1544.79,1544.79000000004,1535,,=G204-L204,=G204-M204,,=O204/L204
204,204,750,3,49500,0,1965,0,0,,1974.16,1974.15999999994,1965,,=G205-L205,=G205-M205,,=O205/L205
205,205,751,3,49500,0,2033,0,0,,2040.23,2040.22999999999,2033,,=G206-L206,=G206-M206,,=O206/L206
206,206,752,3,49500,0,701,0,0,,708.4,708.400000000001,701,,=G207-L207,=G207-M207,,=O207/L207
207,207,753,3,49500,0,2004,0,0,,2007.85,2007.84999999994,2004,,=G208-L208,=G208-M208,,=O208/L208
208,208,754,3,49500,0,1497,0,0,,1498.44,1498.43999999996,1497,,=G209-L209,=G209-M209,,=O209/L209
209,209,755,3,49500,0,4458,0,0,,4461.61,4461.60999999998,4458,,=G210-L210,=G210-M210,,=O210/L210
210,210,756,3,49500,0,6113,0,0,,6121.12,6121.12000000007,6113,,=G211-L211,=G211-M211,,=O211/L211
211,211,757,3,49500,0,2089,0,0,,2102.28,2102.28000000002,2089,,=G212-L212,=G212-M212,,=O212/L212
212,212,758,3,49500,0,495,0,0,,502.12,502.120000000024,495,,=G213-L213,=G213-M213,,=O213/L213
213,213,759,3,49500,0,117,0,0,,126.52,126.52000000004,117,,=G214-L214,=G214-M214,,=O214/L214
214,214,760,3,49500,0,1426,0,0,,1431.55,1431.54999999998,1426,,=G215-L215,=G215-M215,,=O215/L215
215,215,761,3,49500,0,197,0,0,,206.38,206.37999999999,197,,=G216-L216,=G216-M216,,=O216/L216
216,216,762,3,49500,0,1287,0,0,,1295.57,1295.57,1287,,=G217-L217,=G217-M217,,=O217/L217
217,217,763,3,49500,0,1744,0,0,,1746.9,1746.90000000002,1744,,=G218-L218,=G218-M218,,=O218/L218
218,218,764,3,49500,0,1355,0,0,,1363.28,1363.27999999997,1355,,=G219-L219,=G219-M219,,=O219/L219
219,219,765,3,49500,0,4040,0,0,,4045.68,4045.68000000004,4040,,=G220-L220,=G220-M220,,=O220/L220
220,220,766,3,49500,0,4384,0,0,,4393.47,4393.47000000005,4384,,=G221-L221,=G221-M221,,=O221/L221
221,221,767,3,49500,0,2502,0,0,,2514.07,2514.07000000002,2502,,=G222-L222,=G222-M222,,=O222/L222
222,222,768,3,49500,0,2866,0,0,,2874.95,2874.94999999999,2866,,=G223-L223,=G223-M223,,=O223/L223
223,223,769,3,49500,0,855,0,0,,857.32,857.319999999999,855,,=G224-L224,=G224-M224,,=O224/L224
224,224,770,3,49500,0,1415,0,0,,1427.07,1427.07000000002,1415,,=G225-L225,=G225-M225,,=O225/L225
225,225,771,3,49500,0,1061,0,0,,1073.85,1073.84999999996,1061,,=G226-L226,=G226-M226,,=O226/L226
226,226,772,3,49500,0,2113,0,0,,2127.05,2127.05000000002,2113,,=G227-L227,=G227-M227,,=O227/L227
227,227,773,3,49500,0,1027,0,0,,1039.26,1039.26000000003,1027,,=G228-L228,=G228-M228,,=O228/L228
228,228,774,3,49500,0,2218,0,0,,2222.68,2222.68000000005,2218,,=G229-L229,=G229-M229,,=O229/L229
229,229,775,3,49500,0,2347,0,0,,2353,2352.99999999997,2347,,=G230-L230,=G230-M230,,=O230/L230
230,230,776,3,49500,0,3006,0,0,,3012.15,3012.14999999997,3006,,=G231-L231,=G231-M231,,=O231/L231
231,231,777,3,49500,0,3198,0,0,,3206.53,3206.53,3198,,=G232-L232,=G232-M232,,=O232/L232
232,232,778,3,49500,0,3908,0,0,,3918.54,3918.54000000002,3908,,=G233-L233,=G233-M233,,=O233/L233
233,233,779,3,49500,0,4018,0,0,,4034.17,4034.17000000004,4018,,=G234-L234,=G234-M234,,=O234/L234
234,234,780,3,49500,0,933,0,0,,946.65,946.649999999943,933,,=G235-L235,=G235-M235,,=O235/L235
